,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed
0,Kapaa,22.08,-159.32,29.18,66.0,40.0,5.1
1,Castro,-42.48,-73.76,9.0,100.0,90.0,5.1
2,Manggar,-2.88,108.27,26.15,73.0,57.0,2.63
3,Kapaa,22.08,-159.32,29.18,66.0,40.0,5.1
4,Ushuaia,-54.81,-68.31,3.0,64.0,40.0,6.2
5,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
6,Vestmanna,62.16,-7.17,7.0,93.0,33.0,0.5
7,Cape Town,-33.93,18.42,14.09,93.0,40.0,6.7
8,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
9,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
10,Ambon,-3.7,128.18,25.0,88.0,75.0,2.1
11,Jardim,-21.48,-56.15,24.05,44.0,18.0,3.3
12,Rawson,-43.3,-65.11,4.85,80.0,83.0,6.78
13,Port Alfred,-33.59,26.89,13.89,72.0,0.0,1.49
14,Esperance,-33.86,121.89,6.0,87.0,0.0,4.6
15,Puerto Leguizamo,-0.19,-74.78,21.95,93.0,65.0,0.97
16,Cherskiy,68.75,161.3,11.65,44.0,0.0,3.45
17,Yellowknife,62.45,-114.38,17.85,52.0,75.0,3.1
18,Qaanaaq,77.48,-69.36,5.25,45.0,0.0,1.71
19,Hobart,-42.88,147.33,8.04,87.0,75.0,3.1
20,Grand Gaube,-20.01,57.66,20.09,68.0,40.0,2.6
21,Sao Filipe,14.9,-24.5,24.15,84.0,100.0,9.36
22,Saint George,32.38,-64.68,28.74,74.0,40.0,5.7
23,Khatanga,71.98,102.47,13.75,49.0,76.0,3.69
24,Mount Isa,-20.73,139.49,17.0,33.0,0.0,5.84
25,Busselton,-33.64,115.35,11.95,71.0,100.0,13.64
26,Punta Arenas,-53.16,-70.91,2.89,88.0,20.0,7.7
27,Clyde River,70.47,-68.59,5.0,93.0,90.0,2.6
28,Kurchum,48.57,83.65,15.05,68.0,28.0,1.08
29,Kirksville,40.19,-92.58,23.47,69.0,40.0,6.2
30,Hermanus,-34.42,19.24,9.39,97.0,0.0,2.74
31,Nantucket,41.28,-70.1,21.41,83.0,1.0,4.1
32,Hermanus,-34.42,19.24,9.39,97.0,0.0,2.74
33,Sitka,37.17,-99.65,37.81,28.0,0.0,5.81
34,Busselton,-33.64,115.35,11.95,71.0,100.0,13.64
35,Saskylakh,71.97,114.09,13.25,51.0,73.0,3.77
36,Busselton,-33.64,115.35,11.95,71.0,100.0,13.64
37,East London,-33.02,27.91,13.25,38.0,0.0,1.74
38,Aleksandrovskoye,56.74,85.39,12.42,100.0,0.0,1.0
39,Nikolskoye,59.7,30.79,12.91,82.0,0.0,3.0
40,Pandaria,22.22,81.41,21.55,95.0,88.0,2.81
41,Cockburn Town,24.03,-74.52,28.75,78.0,12.0,5.64
42,Arraial do Cabo,-22.97,-42.02,16.0,72.0,75.0,2.1
43,Meulaboh,4.14,96.13,27.75,71.0,96.0,1.96
44,Canutama,-6.53,-64.38,26.75,48.0,61.0,0.34
45,Souillac,-20.52,57.52,19.85,68.0,40.0,2.6
46,Hermanus,-34.42,19.24,9.39,97.0,0.0,2.74
47,Ribeira Grande,38.52,-28.7,22.95,89.0,0.0,4.6
48,Kapaa,22.08,-159.32,29.18,66.0,40.0,5.1
49,Urusha,54.05,122.9,17.65,57.0,91.0,2.02
50,Boa Vista,2.82,-60.67,27.0,78.0,40.0,1.5
51,Synya,65.37,58.04,12.85,89.0,100.0,3.42
52,Mar del Plata,-46.43,-67.52,1.55,74.0,3.0,1.03
53,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
54,Bethel,60.79,-161.76,14.0,93.0,90.0,8.2
55,Port Elizabeth,-33.92,25.57,11.0,100.0,0.0,1.0
56,Auki,-8.77,160.7,28.05,79.0,15.0,10.41
57,Puerto Ayora,-0.74,-90.35,22.39,61.0,40.0,10.3
58,Puerto Escondido,15.86,-97.07,32.0,70.0,40.0,4.6
59,Nikolskoye,59.7,30.79,12.91,82.0,0.0,3.0
60,Hasaki,35.73,140.83,28.03,83.0,75.0,6.2
61,New Norfolk,-42.78,147.06,8.34,76.0,75.0,4.6
62,Zhaodong,46.07,125.99,20.0,100.0,75.0,3.0
63,Hasaki,35.73,140.83,28.03,83.0,75.0,6.2
64,Talnakh,69.49,88.39,14.0,82.0,75.0,5.0
65,Lazaro Cardenas,28.39,-105.62,30.0,35.0,40.0,9.3
66,Kiruna,67.86,20.23,10.0,93.0,87.0,3.1
67,Aklavik,68.22,-135.01,5.4,93.0,90.0,9.8
68,Iki-Burul,45.82,44.65,20.0,45.0,0.0,6.0
69,Norman Wells,65.28,-126.83,13.0,87.0,90.0,7.2
70,Santa Maria,16.6,-22.9,25.0,78.0,40.0,9.3
71,Sao Filipe,14.9,-24.5,24.15,84.0,100.0,9.36
72,Hithadhoo,-0.6,73.08,28.15,71.0,68.0,2.56
73,Dikson,73.51,80.55,6.35,99.0,100.0,3.46
74,Vestmannaeyjar,63.44,-20.27,8.85,81.0,36.0,5.69
75,Saint-Augustin,45.63,-73.98,23.46,38.0,40.0,2.6
76,Cape Town,-33.93,18.42,14.09,93.0,40.0,6.7
77,Ushuaia,-54.81,-68.31,3.0,64.0,40.0,6.2
78,Vaini,-21.2,-175.2,24.0,73.0,75.0,1.5
79,Punta Arenas,-53.16,-70.91,2.89,88.0,20.0,7.7
80,Port Alfred,-33.59,26.89,13.89,72.0,0.0,1.49
81,Punta Arenas,-53.16,-70.91,2.89,88.0,20.0,7.7
82,Tuktoyaktuk,69.44,-133.03,4.0,93.0,90.0,13.4
83,Ushuaia,-54.81,-68.31,3.0,64.0,40.0,6.2
84,Broome,-17.97,122.23,21.0,94.0,90.0,3.1
85,Kobryn,52.21,24.36,11.95,79.0,20.0,0.61
86,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
87,Verkhnetulomskiy,68.61,31.8,8.0,93.0,90.0,3.0
88,Nikolskoye,59.7,30.79,12.91,82.0,0.0,3.0
89,Buala,-8.15,159.59,28.35,77.0,69.0,7.7
90,Punta Arenas,-53.16,-70.91,2.89,88.0,20.0,7.7
91,Vila Franca do Campo,37.72,-25.43,22.0,83.0,20.0,1.5
92,Lodwar,3.12,35.6,26.55,42.0,0.0,10.5
93,Jamestown,-15.94,-5.72,19.15,76.0,100.0,8.9
94,Busselton,-33.64,115.35,11.95,71.0,100.0,13.64
95,Husavik,66.04,-17.34,9.0,81.0,75.0,5.7
96,Victoria,-4.62,55.45,26.0,83.0,98.0,7.7
97,Busselton,-33.64,115.35,11.95,71.0,100.0,13.64
98,Atuona,-9.8,-139.03,26.35,77.0,8.0,6.51
99,Arraial do Cabo,-22.97,-42.02,16.0,72.0,75.0,2.1
100,Hilo,19.71,-155.08,28.35,51.0,1.0,4.1
101,Kapaa,22.08,-159.32,29.18,66.0,40.0,5.1
102,Port Lincoln,-34.72,135.86,13.05,78.0,54.0,7.78
103,Shingu,33.72,135.99,22.95,97.0,100.0,3.9
104,Mundo Nuevo,18.09,-94.39,30.0,70.0,75.0,5.1
105,Saint-Donat-de-Montcalm,46.32,-74.22,20.0,5.0,9.0,0.45
106,Vancouver,49.26,-123.12,24.67,53.0,1.0,4.1
107,Port Elizabeth,-33.92,25.57,11.0,100.0,0.0,1.0
108,Sola,-13.88,167.55,26.45,81.0,26.0,9.35
109,Hilo,19.71,-155.08,28.35,51.0,1.0,4.1
110,Kapaa,22.08,-159.32,29.18,66.0,40.0,5.1
111,Busselton,-33.64,115.35,11.95,71.0,100.0,13.64
112,Souillac,-20.52,57.52,19.85,68.0,40.0,2.6
113,Mahebourg,-20.41,57.7,19.82,68.0,40.0,2.6
114,Punta Arenas,-53.16,-70.91,2.89,88.0,20.0,7.7
115,Longyearbyen,78.22,15.64,1.0,95.0,75.0,2.1
116,Alofi,-19.06,-169.92,24.75,81.0,63.0,5.7
117,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
118,Kahului,20.89,-156.47,27.59,69.0,40.0,8.2
119,Poum,-20.23,164.02,20.05,71.0,7.0,6.52
120,Port Alfred,-33.59,26.89,13.89,72.0,0.0,1.49
121,Kendari,-3.99,122.52,25.85,72.0,70.0,0.77
122,Banjar,-7.37,108.54,21.95,88.0,100.0,0.9
123,Saint-Philippe,-21.36,55.77,16.13,55.0,40.0,3.6
124,Mar del Plata,-46.43,-67.52,1.55,74.0,3.0,1.03
125,Atuona,-9.8,-139.03,26.35,77.0,8.0,6.51
126,Kijang,0.9,104.63,27.0,78.0,20.0,3.24
127,Saskylakh,71.97,114.09,13.25,51.0,73.0,3.77
128,Labuhan,-2.54,115.51,24.95,58.0,38.0,0.43
129,San Patricio,19.22,-104.7,34.0,63.0,75.0,5.1
130,Atuona,-9.8,-139.03,26.35,77.0,8.0,6.51
131,Lorengau,-2.02,147.27,26.85,80.0,99.0,1.7
132,Saint-Philippe,-21.36,55.77,16.13,55.0,40.0,3.6
133,Bluff,-46.6,168.33,12.22,72.0,98.0,4.47
134,Ostrovnoy,68.05,39.51,9.25,97.0,100.0,4.7
135,Georgetown,-7.93,-14.42,23.05,80.0,4.0,9.71
136,Berlevag,70.86,29.09,6.95,89.0,98.0,2.18
137,Rikitea,-23.12,-134.97,23.75,85.0,5.0,4.75
138,Concepcion del Uruguay,-32.48,-58.24,13.45,68.0,100.0,0.45
139,Xining,36.62,101.77,13.75,47.0,90.0,1.94
140,Barrow,39.51,-90.4,26.11,74.0,40.0,2.25
141,Tiksi,71.64,128.87,6.75,81.0,60.0,5.4
142,Beringovskiy,63.05,179.32,10.45,48.0,62.0,5.42
143,Riyadh,24.63,46.72,32.0,18.0,0.0,2.6
144,Aykhal,65.95,111.51,7.0,93.0,90.0,3.0
145,Saint-Philippe,-21.36,55.77,16.13,55.0,40.0,3.6
146,Chingirlau,51.09,54.08,18.95,68.0,0.0,2.63
147,Tawang,27.58,91.87,14.75,97.0,98.0,0.59
148,Ngorongoro,-3.24,35.49,15.35,75.0,0.0,8.5
149,Kaitangata,-46.28,169.85,11.45,62.0,78.0,6.78
150,Santiago del Estero,-27.8,-64.26,12.45,33.0,3.0,0.71
151,Luderitz,-26.65,15.16,25.0,53.0,0.0,1.5
152,Dealu Morii,46.3,27.3,16.07,82.0,0.0,5.1
153,Atuona,-9.8,-139.03,26.35,77.0,8.0,6.51
154,Nikolskoye,59.7,30.79,12.91,82.0,0.0,3.0
155,Albany,-35.02,117.88,11.0,81.0,90.0,3.6
156,New Norfolk,-42.78,147.06,8.34,76.0,75.0,4.6
157,Arrifes,37.77,-25.7,22.0,83.0,20.0,1.5
158,Mahebourg,-20.41,57.7,19.82,68.0,40.0,2.6
159,Otradnoye,59.77,30.8,12.92,82.0,0.0,3.0
160,Bambous Virieux,-20.34,57.76,19.89,68.0,40.0,2.6
161,Mar del Plata,-46.43,-67.52,1.55,74.0,3.0,1.03
162,Segezha,63.74,34.31,10.15,96.0,51.0,3.7
